url,text,createdAt,viewCount
https://x.com/seangoldfaden/status/1666597383965409280,Behind the scenes at @amplifyla @Techweek_ #LaTechWeek @KatiaAmeri @upfrontvc @andrewchen @BCapitalGroup #ILoveLA #LosAngeles https://t.co/7PKaTfJFjB,Thu Jun 08 00:05:54 +0000 2023,335
https://x.com/seangoldfaden/status/1664442333486538753,Some words of wisdom here for everyone at #SFTechWeek @KatiaAmeri @Techweek_,Fri Jun 02 01:22:30 +0000 2023,333
https://x.com/seangoldfaden/status/1666339780202995712,"RT @Techweek_: ""AI increases throughout which allows us to work on developing huge applications or products without having thousands of emp…",Wed Jun 07 07:02:17 +0000 2023,303
https://x.com/seangoldfaden/status/1665811524873760768,"“Make sure your entire sales team understand product usage at point customers actually uses the product.  You can’t do this behind a screen. You need to talk with them and experience their pain points and journey”

@KatiaAmeri @Techweek_ @mucker https://t.co/xBZx6UTYcp",Mon Jun 05 20:03:11 +0000 2023,302
https://x.com/seangoldfaden/status/1666504198983401473,"About to go live @Google with @john_at_stonks 

@andrewchen @KatiaAmeri @Techweek_ #LATechWeek https://t.co/MJ1nAuIsjz",Wed Jun 07 17:55:37 +0000 2023,265
https://x.com/seangoldfaden/status/1669003095936778243,"Day dreaming about @Techweek_ 
🤔😴💤🛌💭

HBU?

@KatiaAmeri #SFTechWeek #LATechWeek",Wed Jun 14 15:25:21 +0000 2023,260
https://x.com/seangoldfaden/status/1666613167278149632,"Vibing at @amplifyla 

@Techweek_ @KatiaAmeri @upfrontvc @fikavc @TenOne10 @mucker @WatertowerGroup @BCapitalGroup @pearvc @HalogenVC @Unusual_VC @CortadoVentures @MoonshotsCap @parkrangerscap @MuivonaCapital @housecapvc @Lux_Capital @bonfire_vc @HyperlinkVC #LATechWeek https://t.co/5tiBhb8KIO",Thu Jun 08 01:08:37 +0000 2023,259
https://x.com/seangoldfaden/status/1666976648217108480,"No days off 🎥🌎🧱🎮

@Techweek_ @KatiaAmeri @WeAreLATech @amplifyla @mucker @fikavc @john_at_stonks @Stonks_dot_com @WatertowerGroup @dereknorton @humptycalderon @sophiaamoruso @rekt @tjack @IAmRobRyan @connielwang @chipershot @TheRobRyan @shiragirl @alexis__stovall @arjunraime https://t.co/o8HonRiARt",Fri Jun 09 01:12:58 +0000 2023,241
https://x.com/seangoldfaden/status/1877407270385959269,"💡 Plan your exit before you start.

My favorite insight from @UscBruin ⬇️

🧠 “Think about the exit. Work backwards from there.”

📈 “What you build is easier with suitors in mind.”

🤝 “Future buyers might see value in your vision early.”

⤵️⤵️⤵️ https://t.co/ln5J4BGzdu",Thu Jan 09 17:29:08 +0000 2025,239
https://x.com/seangoldfaden/status/1909824026782089581,RT @MaCVentureCap: Curious how VCs identify standout founders? @MarlonCNichols joins @seangoldfaden on #DemoDay to discuss repeat exception…,Wed Apr 09 04:21:45 +0000 2025,236
https://x.com/seangoldfaden/status/1666520941684469760,"Some 🐐🐐🐐🐐 right here 

@Techweek_ @KatiaAmeri @andrewchen @a16z @upfrontvc @WatertowerGroup #LATechWeek https://t.co/eRTIoc4ZK1",Wed Jun 07 19:02:09 +0000 2023,235
https://x.com/seangoldfaden/status/1665826205227163648,We’re shooting live @mucker @Techweek_ @KatiaAmeri #LATechWeek https://t.co/9Ucm4U6P2s,Mon Jun 05 21:01:31 +0000 2023,226
https://x.com/seangoldfaden/status/1666588142768656385,I love LA @Techweek_ #LATechWeek https://t.co/Assk9xpzdS,Wed Jun 07 23:29:11 +0000 2023,225
https://x.com/seangoldfaden/status/1912195804602765779,"How we got 400+ Leads at our last conference 👇

At @affiliatesummit West, we walked out with 400+ new leads — and no, it wasn’t luck.

It started with a simple goal:

🎯 100 meaningful conversations each — broken down by day, and even by hour.

1/3 https://t.co/hbG7p2323V",Tue Apr 15 17:26:21 +0000 2025,225
https://x.com/seangoldfaden/status/1666576932291612672,Cozy vibes with @ArrowrootCap #LATechWeek @Techweek_ https://t.co/vg5O1KUwto,Wed Jun 07 22:44:38 +0000 2023,223
https://x.com/seangoldfaden/status/1666933703493439489,"LA TECH WEEK does not disappoint 

@KatiaAmeri @Techweek_ @dereknorton @WatertowerGroup @fikavc @mucker #LATechWeek https://t.co/i3KhW7tMRs",Thu Jun 08 22:22:19 +0000 2023,223
https://x.com/seangoldfaden/status/1666126690127605760,“Strong investors puts blinders on and push forward” @Techweek_ @KatiaAmeri @fikavc @TenOne10 #LATechweek @mucker https://t.co/kUbBTmDK4x,Tue Jun 06 16:55:32 +0000 2023,219
https://x.com/seangoldfaden/status/1663661081338974208,"Just landed in San Francisco for #SFTechWeek! 

Can’t wait to see what @KatiaAmeri has been working on for months! 

Will it top the @Stonks_dot_com event at #LATechWeek last year!? We shall see! https://t.co/mREszpLLw0",Tue May 30 21:38:05 +0000 2023,213
https://x.com/seangoldfaden/status/1667003758751137793,I love LA @upfrontvc @Techweek_ #LATechWeek https://t.co/CN1dDIarkr,Fri Jun 09 03:00:42 +0000 2023,197
